"","seqnames","start","end","width","strand","n","tx_names"
"1292","chr2",11435123,11438500,3378,"+",2,c("g7227.t1", "g7228.t1")
"1293","chr2",11438684,11440969,2286,"-",2,c("g7229.t1", "g7230.t1")
"1294","chr2",11441842,11444339,2498,"+",2,c("g7231.t1", "g7231.t2")
"1295","chr2",11457887,11463893,6007,"-",3,c("g7237.t1", "g7238.t1", "g7239.t1")
"1296","chr2",11489187,11507694,18508,"-",3,c("g7246.t1", "g7247.t1", "g7248.t1")
"1297","chr2",11508928,11512564,3637,"-",3,c("g7249.t1", "g7250.t1", "g7251.t1")
"1298","chr2",11532683,11533639,957,"-",2,c("g7258.t1", "g7258.t2")
"1299","chr2",11534274,11543587,9314,"+",2,c("g7259.t1", "g7260.t1")
"1300","chr2",11543722,11547354,3633,"-",2,c("g7261.t1", "g7262.t1")
"1301","chr2",11550768,11563015,12248,"+",5,c("g7264.t1", "g7265.t1", "g7266.t1", "g7266.t2", "g7266.t3")
"1302","chr2",11596923,11602792,5870,"+",2,c("g7275.t1", "g7276.t1")
"1303","chr2",11630136,11631736,1601,"+",2,c("g7284.t1", "g7286.t1")
"1304","chr2",11671987,11673750,1764,"-",2,c("g7295.t1", "g7295.t2")
"1305","chr2",11676884,11681980,5097,"+",5,c("g7296.t1", "g7296.t2", "g7296.t3", "g7297.t1", "g7297.t2")
"1306","chr2",11682725,11699946,17222,"-",7,c("g7298.t1", "g7299.t1", "g7300.t1", "g7301.t1", "g7301.t2", "g7302.t1", "g7303.t1")
"1307","chr2",11766362,11774369,8008,"-",6,c("g7319.t1", "g7320.t1", "g7321.t1", "g7322.t1", "g7323.t1", "g7324.t1")
"1308","chr2",11774904,11779401,4498,"-",4,c("g7325.t1", "g7326.t1", "g7327.t1", "g7327.t2")
"1309","chr2",11781136,11788540,7405,"-",3,c("g7328.t1", "g7329.t1", "g7329.t2")
"1310","chr2",11800194,11800983,790,"-",2,c("g7333.t2", "g7333.t1")
"1311","chr2",11807715,11811178,3464,"+",2,c("g7335.t2", "g7335.t1")
"1312","chr2",11817464,11824531,7068,"-",4,c("g7338.t1", "g7339.t1", "g7340.t1", "g7341.t1")
"1313","chr2",11826215,11837728,11514,"-",5,c("g7342.t1", "g7343.t1", "g7344.t1", "g7345.t1", "g7346.t1")
"1314","chr2",11838899,11842113,3215,"+",3,c("g7347.t1", "g7348.t1", "g7348.t2")
"1315","chr2",11856408,11860858,4451,"-",3,c("g7350.t1", "g7351.t1", "g7352.t1")
"1316","chr2",11923931,11929116,5186,"-",2,c("g7369.t1", "g7370.t1")
"1317","chr2",11954393,11962413,8021,"-",4,c("g7380.t1", "g7381.t1", "g7382.t1", "g7383.t1")
"1318","chr2",11979969,11985099,5131,"+",2,c("g7386.t2", "g7386.t1")
"1319","chr2",12056571,12080346,23776,"+",3,c("g7400.t1", "g7401.t1", "g7402.t1")
"1320","chr2",12224143,12228336,4194,"+",3,c("g7431.t1", "g7431.t2", "g7432.t1")
"1321","chr2",12233540,12239329,5790,"+",5,c("g7434.t1", "g7434.t2", "g7435.t1", "g7435.t3", "g7435.t2")
"1322","chr2",12246608,12249262,2655,"-",2,c("g7437.t1", "g7437.t2")
"1323","chr2",12251398,12253250,1853,"+",3,c("g7438.t1", "g7439.t1", "g7440.t1")
"1324","chr2",12282379,12285732,3354,"-",2,c("g7447.t1", "g7448.t1")
"1325","chr2",12315962,12318800,2839,"-",2,c("g7459.t1", "g7460.t1")
"1326","chr2",12376601,12385741,9141,"-",2,c("g7486.t1", "g7487.t1")
"1327","chr2",12405014,12407326,2313,"+",3,c("g7493.t1", "g7494.t1", "g7495.t1")
"1328","chr2",12419045,12424477,5433,"-",2,c("g7499.t1", "g7500.t1")
"1329","chr2",12466609,12469533,2925,"+",2,c("g7510.t1", "g7511.t1")
"1330","chr2",12470640,12472341,1702,"-",2,c("g7512.t1", "g7513.t1")
"1331","chr2",12497107,12500511,3405,"-",2,c("g7518.t1", "g7519.t1")
"1332","chr2",12587565,12589740,2176,"+",2,c("g7551.t1", "g7552.t1")
"1333","chr2",12590830,12603204,12375,"+",3,c("g7553.t1", "g7553.t2", "g7554.t1")
"1334","chr2",12619085,12622206,3122,"-",2,c("g7562.t1", "g7563.t1")
"1335","chr2",12623015,12628726,5712,"-",2,c("g7564.t1", "g7565.t1")
"1336","chr2",12629381,12632038,2658,"-",3,c("g7566.t1", "g7567.t1", "g7568.t1")
"1337","chr2",12637832,12642706,4875,"+",2,c("g7570.t1", "g7570.t2")
"1338","chr2",12705726,12707435,1710,"-",2,c("g7580.t2", "g7580.t1")
"1339","chr2",12732671,12738152,5482,"+",3,c("g7592.t1", "g7593.t1", "g7594.t1")
"1340","chr2",12740988,12744861,3874,"+",2,c("g7596.t1", "g7597.t1")
"1341","chr2",12782412,12793000,10589,"+",2,c("g7613.t1", "g7614.t1")
"1342","chr2",12793676,12801462,7787,"+",3,c("g7615.t1", "g7616.t1", "g7617.t1")
"1343","chr2",12802006,12804501,2496,"+",2,c("g7618.t1", "g7619.t1")
"1344","chr2",12806799,12814756,7958,"+",3,c("g7621.t1", "g7622.t1", "g7623.t1")
"1345","chr2",12858850,12865898,7049,"+",2,c("g7630.t1", "g7631.t1")
"1346","chr2",12868961,12879619,10659,"-",2,c("g7633.t2", "g7633.t1")
"1347","chr2",12881597,12889941,8345,"+",2,c("g7634.t1", "g7634.t2")
"1348","chr2",12890028,12892351,2324,"-",2,c("g7635.t2", "g7635.t1")
"1349","chr2",12905846,12910205,4360,"+",2,c("g7639.t1", "g7640.t1")
"1350","chr2",12910514,12915138,4625,"-",2,c("g7641.t1", "g7641.t2")
"1351","chr2",12921468,12925873,4406,"+",2,c("g7642.t1", "g7642.t2")
"1352","chr2",12927411,12932350,4940,"-",2,c("g7643.t1", "g7644.t1")
"1353","chr2",12933636,12937125,3490,"-",3,c("g7645.t1", "g7646.t1", "g7647.t1")
"1354","chr2",12937645,12939806,2162,"+",2,c("g7648.t1", "g7649.t1")
"1355","chr2",12984122,12986866,2745,"+",3,c("g7659.t1", "g7660.t1", "g7661.t1")
"1356","chr2",12993149,13005714,12566,"-",2,c("g7665.t1", "g7666.t1")
"1357","chr2",13072310,13073939,1630,"+",2,c("g7682.t1", "g7683.t1")
"1358","chr2",13097720,13101196,3477,"-",2,c("g7692.t1", "g7693.t1")
"1359","chr2",13107791,13110294,2504,"+",2,c("g7695.t1", "g7696.t1")
"1360","chr2",13150372,13153064,2693,"+",3,c("g7709.t1", "g7709.t3", "g7711.t1")
"1361","chr2",13155021,13157240,2220,"-",2,c("g7713.t1", "g7714.t1")
"1362","chr2",13222294,13223679,1386,"+",2,c("g7729.t1", "g7730.t1")
"1363","chr2",13275381,13277855,2475,"+",3,c("g7749.t1", "g7750.t1", "g7751.t1")
"1364","chr2",13354837,13361866,7030,"-",2,c("g7769.t1", "g7770.t1")
"1365","chr2",13462641,13465693,3053,"-",2,c("g7790.t1", "g7791.t1")
"1366","chr2",13498754,13502568,3815,"+",3,c("g7801.t1", "g7802.t1", "g7803.t1")
"1367","chr2",13515511,13517751,2241,"-",2,c("g7807.t1", "g7808.t1")
"1368","chr2",13649852,13657577,7726,"-",3,c("g7840.t1", "g7841.t1", "g7842.t1")
"1369","chr2",13673828,13678131,4304,"+",2,c("g7850.t1", "g7851.t1")
"1370","chr2",13682115,13688049,5935,"+",3,c("g7853.t1", "g7854.t1", "g7855.t1")
"1371","chr2",13702581,13708586,6006,"-",2,c("g7865.t1", "g7866.t1")
"1372","chr2",13744613,13746758,2146,"+",2,c("g7874.t1", "g7875.t1")
"1373","chr2",13749270,13756067,6798,"-",4,c("g7877.t1", "g7878.t1", "g7879.t1", "g7880.t1")
"1374","chr2",13781746,13787701,5956,"-",3,c("g7887.t1", "g7888.t1", "g7889.t1")
"1375","chr2",13792836,13794926,2091,"+",2,c("g7891.t1", "g7892.t1")
"1376","chr2",13795753,13816834,21082,"+",5,c("g7893.t1", "g7894.t1", "g7895.t1", "g7896.t1", "g7897.t1")
"1377","chr2",13827417,13831424,4008,"-",2,c("g7901.t1", "g7902.t1")
"1378","chr2",14010481,14012298,1818,"-",2,c("g7945.t1", "g7946.t1")
"1379","chr2",14029164,14031329,2166,"+",2,c("g7952.t1", "g7953.t1")
"1380","chr2",14131516,14134486,2971,"+",3,c("g7980.t1", "g7981.t1", "g7982.t1")
"1381","chr2",14134710,14149434,14725,"-",2,c("g7983.t1", "g7984.t1")
"1382","chr2",14183867,14186954,3088,"-",3,c("g7992.t1", "g7993.t1", "g7994.t1")
"1383","chr2",14198083,14205562,7480,"-",2,c("g8000.t1", "g8001.t1")
"1384","chr2",14215446,14223195,7750,"+",5,c("g8007.t1", "g8008.t1", "g8008.t2", "g8009.t1", "g8010.t1")
"1385","chr2",14230230,14232899,2670,"-",2,c("g8014.t1", "g8015.t1")
"1386","chr2",14319308,14321254,1947,"+",2,c("g8039.t1", "g8040.t1")
"1387","chr2",14392918,14413693,20776,"-",9,c("g8059.t1", "g8060.t2", "g8060.t3", "g8060.t1", "g8061.t1", "g8062.t1", "g8063.t1", "g8064.t1", "g8065.t1")
"1388","chr2",14414546,14426881,12336,"-",5,c("g8066.t1", "g8067.t1", "g8068.t1", "g8069.t1", "g8070.t1")
"1389","chr2",14442438,14447926,5489,"-",4,c("g8079.t4", "g8079.t3", "g8079.t1", "g8079.t2")
"1390","chr2",14444609,14445814,1206,"+",2,c("g8080.t1", "g8081.t1")
"1391","chr2",14445824,14447926,2103,"-",3,c("g8079.t3", "g8079.t1", "g8079.t2")
"1392","chr2",14450302,14455718,5417,"-",4,c("g8082.t1", "g8083.t1", "g8084.t1", "g8085.t1")
"1393","chr2",14472579,14478675,6097,"-",3,c("g8089.t1", "g8090.t1", "g8091.t1")
"1394","chr2",14493580,14505097,11518,"-",4,c("g8095.t1", "g8096.t1", "g8097.t1", "g8098.t1")
"1395","chr2",14514741,14517530,2790,"-",2,c("g8101.t1", "g8102.t1")
"1396","chr2",14518172,14520404,2233,"-",2,c("g8103.t1", "g8104.t1")
"1397","chr2",14521199,14542003,20805,"-",5,c("g8105.t1", "g8106.t1", "g8107.t1", "g8108.t1", "g8109.t1")
"1398","chr2",14544776,14550086,5311,"+",2,c("g8110.t1", "g8111.t1")
"1399","chr2",14564310,14571313,7004,"+",2,c("g8114.t1", "g8115.t1")
"1400","chr2",14574625,14578264,3640,"+",4,c("g8116.t1", "g8117.t1", "g8118.t2", "g8118.t1")
"1401","chr2",14621380,14624197,2818,"+",2,c("g8128.t1", "g8129.t1")
"1402","chr2",14642102,14644893,2792,"+",2,c("g8131.t1", "g8132.t1")
"1403","chr2",14654786,14660952,6167,"-",5,c("g8136.t1", "g8137.t1", "g8138.t1", "g8139.t1", "g8140.t1")
"1404","chr2",14691353,14697577,6225,"+",2,c("g8151.t1", "g8152.t1")
"1405","chr2",14709090,14710973,1884,"+",2,c("g8155.t1", "g8155.t2")
"1406","chr2",14727816,14732111,4296,"-",3,c("g8160.t1", "g8160.t2", "g8160.t3")
"1407","chr2",14734040,14740074,6035,"-",3,c("g8161.t1", "g8162.t1", "g8163.t1")
"1408","chr2",14741081,14743797,2717,"+",2,c("g8164.t1", "g8165.t1")
"1409","chr2",14746866,14758073,11208,"+",6,c("g8167.t1", "g8168.t1", "g8169.t1", "g8170.t1", "g8171.t1", "g8172.t1")
"1410","chr2",14758997,14761533,2537,"+",2,c("g8173.t1", "g8174.t1")
"1411","chr2",14762344,14763535,1192,"+",2,c("g8175.t1", "g8176.t1")
"1412","chr2",14763986,14767488,3503,"-",3,c("g8177.t1", "g8178.t1", "g8178.t2")
"1413","chr2",14766997,14772984,5988,"+",6,c("g8179.t1", "g8179.t2", "g8179.t3", "g8180.t1", "g8181.t1", "g8181.t2")
"1414","chr2",14774646,14787841,13196,"+",7,c("g8182.t1", "g8183.t1", "g8183.t2", "g8184.t1", "g8185.t1", "g8186.t1", "g8187.t1")
"1415","chr2",14794375,14806581,12207,"+",3,c("g8189.t1", "g8189.t2", "g8190.t1")
"1416","chr2",14814869,14821792,6924,"-",2,c("g8193.t1", "g8194.t1")
"1417","chr2",14831465,14834185,2721,"-",2,c("g8199.t1", "g8200.t1")
"1418","chr2",14836661,14842036,5376,"+",3,c("g8201.t1", "g8202.t1", "g8203.t1")
"1419","chr2",14965366,14971843,6478,"+",2,c("g8219.t1", "g8219.t2")
"1420","chr2",15035643,15044323,8681,"-",3,c("g8235.t1", "g8236.t1", "g8237.t1")
"1421","chr2",15045099,15051836,6738,"-",2,c("g8238.t1", "g8239.t1")
"1422","chr2",15098517,15099323,807,"-",2,c("g8256.t2", "g8256.t1")
"1423","chr2",15255087,15256140,1054,"-",2,c("g8301.t1", "g8302.t1")
"1424","chr2",15265097,15270273,5177,"-",3,c("g8306.t1", "g8307.t1", "g8308.t1")
"1425","chr2",15282230,15284972,2743,"-",2,c("g8315.t2", "g8315.t1")
"1426","chr2",15291307,15295455,4149,"+",3,c("g8318.t1", "g8318.t2", "g8319.t1")
"1427","chr2",15307403,15313230,5828,"+",3,c("g8322.t1", "g8323.t1", "g8324.t1")
"1428","chr2",15330025,15350649,20625,"-",3,c("g8328.t1", "g8329.t1", "g8330.t1")
"1429","chr2",15351493,15354204,2712,"-",2,c("g8331.t1", "g8332.t1")
"1430","chr2",15354976,15356541,1566,"-",2,c("g8333.t1", "g8334.t1")
"1431","chr2",15363408,15371203,7796,"-",2,c("g8335.t1", "g8336.t1")
"1432","chr2",15420685,15422752,2068,"-",2,c("g8349.t1", "g8350.t1")
"1433","chr2",15423424,15431950,8527,"-",4,c("g8351.t1", "g8352.t1", "g8353.t1", "g8354.t1")
"1434","chr2",15496592,15501007,4416,"-",2,c("g8371.t1", "g8372.t1")
"1435","chr2",15501864,15505261,3398,"+",2,c("g8373.t1", "g8374.t1")
"1436","chr2",15516126,15517134,1009,"-",2,c("g8378.t1", "g8378.t2")
"1437","chr2",15518103,15521764,3662,"+",2,c("g8380.t1", "g8381.t1")
"1438","chr2",15909252,15916041,6790,"-",4,c("g8427.t1", "g8428.t1", "g8428.t2", "g8429.t1")
"1439","chr2",15940326,15946493,6168,"+",3,c("g8438.t1", "g8439.t1", "g8440.t1")
"1440","chr2",15947351,15952960,5610,"+",2,c("g8441.t1", "g8441.t2")
"1441","chr2",15962105,15969149,7045,"-",4,c("g8446.t2", "g8446.t1", "g8446.t3", "g8447.t1")
"1442","chr2",15971277,15973250,1974,"+",2,c("g8448.t1", "g8448.t2")
"1443","chr2",16015348,16061332,45985,"+",2,c("g8460.t1", "g8461.t1")
"1444","chrUn_1",851,8012,7162,"+",3,c("g17244.t1", "g17245.t1", "g17246.t1")
"1445","chrUn_7",18469,20371,1903,"-",2,c("g17273.t1", "g17274.t1")
"1446","chrUn_7",29189,31155,1967,"+",2,c("g17278.t2", "g17278.t1")
"1447","chrUn_7",31816,37537,5722,"-",2,c("g17279.t1", "g17280.t1")
"1448","chrUn_7",39268,40000,733,"-",2,c("g17281.t1", "g17282.t1")
"1449","chrUn_7",41650,43783,2134,"-",2,c("g17283.t1", "g17284.t1")
"1450","chrUn_7",48422,50991,2570,"+",3,c("g17287.t1", "g17288.t1", "g17289.t1")
"1451","PAR",337716,345023,7308,"+",2,c("g8502.t1", "g8503.t1")
"1452","PAR",372078,380028,7951,"+",4,c("g8510.t1", "g8511.t1", "g8512.t1", "g8513.t1")
"1453","PAR",399859,407403,7545,"+",3,c("g8518.t1", "g8518.t2", "g8519.t1")
"1454","PAR",425859,427913,2055,"+",3,c("g8525.t1", "g8526.t2", "g8526.t1")
"1455","PAR",449186,454521,5336,"+",2,c("g8533.t1", "g8533.t2")
"1456","PAR",463559,468627,5069,"-",2,c("g8537.t1", "g8538.t1")
"1457","PAR",472786,479021,6236,"+",2,c("g8540.t1", "g8541.t1")
"1458","PAR",482761,485365,2605,"+",2,c("g8543.t1", "g8544.t1")
"1459","PAR",485741,486795,1055,"-",2,c("g8545.t1", "g8545.t2")
"1460","PAR",510033,514599,4567,"-",3,c("g8548.t1", "g8549.t1", "g8550.t1")
"1461","PAR",565330,577849,12520,"+",3,c("g8557.t1", "g8558.t1", "g8559.t1")
"1462","PAR",577944,579219,1276,"-",2,c("g8560.t2", "g8560.t1")
"1463","PAR",592944,595493,2550,"-",2,c("g8566.t1", "g8566.t2")
"1464","PAR",612500,614011,1512,"-",2,c("g8571.t1", "g8572.t1")
"1465","PAR",624093,626671,2579,"-",2,c("g8575.t1", "g8576.t1")
"1466","PAR",829541,833372,3832,"+",2,c("g8608.t1", "g8609.t1")
"1467","PAR",836142,845672,9531,"+",4,c("g8611.t1", "g8612.t1", "g8612.t2", "g8613.t1")
"1468","PAR",862649,871689,9041,"+",5,c("g8620.t1", "g8621.t1", "g8622.t1", "g8623.t1", "g8624.t1")
"1469","PAR",874000,880274,6275,"-",2,c("g8626.t1", "g8627.t1")
"1470","PAR",893225,904137,10913,"-",2,c("g8633.t1", "g8634.t1")
"1471","PAR",924931,930457,5527,"-",3,c("g8643.t1", "g8643.t2", "g8644.t1")
"1472","PAR",944207,945892,1686,"+",2,c("g8646.t1", "g8647.t1")
"1473","PAR",1098143,1100754,2612,"-",2,c("g8702.t1", "g8703.t1")
"1474","PAR",1135301,1137210,1910,"+",2,c("g8718.t1", "g8719.t1")
"1475","PAR",1178728,1184273,5546,"+",2,c("g8732.t1", "g8733.t1")
"1476","PAR",1243560,1246480,2921,"-",2,c("g8751.t1", "g8752.t1")
"1477","PAR",1247744,1252743,5000,"+",2,c("g8753.t1", "g8754.t1")
"1478","PAR",1260152,1262933,2782,"+",2,c("g8757.t1", "g8758.t1")
"1479","PAR",1299733,1304223,4491,"-",3,c("g8767.t1", "g8768.t1", "g8768.t2")
"1480","PAR",1304724,1309324,4601,"-",3,c("g8769.t1", "g8770.t1", "g8770.t2")
"1481","PAR",1336693,1343245,6553,"-",3,c("g8779.t1", "g8780.t1", "g8781.t1")
"1482","PAR",1354116,1357255,3140,"-",2,c("g8786.t1", "g8787.t1")
"1483","PAR",1412616,1416504,3889,"+",2,c("g8804.t1", "g8805.t1")
"1484","PAR",1574495,1577420,2926,"-",4,c("g8851.t1", "g8851.t2", "g8852.t1", "g8853.t1")
"1485","PAR",1612422,1616629,4208,"+",2,c("g8862.t1", "g8863.t1")
"1486","PAR",1625946,1627683,1738,"+",2,c("g8868.t1", "g8869.t1")
"1487","PAR",1630939,1634324,3386,"+",2,c("g8871.t1", "g8871.t2")
"1488","PAR",1639865,1641231,1367,"+",2,c("g8874.t1", "g8875.t1")
"1489","PAR",1665524,1667568,2045,"-",2,c("g8885.t1", "g8886.t1")
"1490","PAR",1701548,1703340,1793,"+",2,c("g8907.t1", "g8908.t1")
"1491","PAR",1703569,1707123,3555,"-",2,c("g8909.t1", "g8910.t1")
"1492","PAR",1713572,1719125,5554,"-",4,c("g8914.t2", "g8914.t1", "g8915.t1", "g8916.t1")
"1493","PAR",1722951,1727214,4264,"-",3,c("g8918.t1", "g8919.t1", "g8919.t2")
"1494","PAR",1822180,1825289,3110,"-",2,c("g8944.t1", "g8945.t1")
"1495","PAR",1831802,1841891,10090,"+",3,c("g8948.t1", "g8949.t1", "g8950.t1")
"1496","PAR",1842702,1849538,6837,"+",2,c("g8951.t1", "g8951.t2")
"1497","PAR",1859865,1863585,3721,"+",2,c("g8952.t1", "g8953.t1")
"1498","PAR",1863828,1865381,1554,"-",2,c("g8954.t1", "g8954.t2")
"1499","PAR",1866077,1868583,2507,"+",2,c("g8955.t1", "g8956.t1")
"1500","PAR",1881997,1883965,1969,"+",2,c("g8962.t1", "g8963.t1")
"1501","PAR",1907551,1911250,3700,"+",3,c("g8967.t1", "g8967.t2", "g8967.t3")
"1502","PAR",1915612,1922641,7030,"+",3,c("g8969.t1", "g8970.t1", "g8971.t1")
"1503","PAR",1965207,1972848,7642,"+",3,c("g8982.t1", "g8982.t2", "g8983.t1")
"1504","PAR",2085194,2088098,2905,"-",2,c("g9006.t1", "g9007.t1")
"1505","PAR",2093241,2097815,4575,"-",2,c("g9010.t1", "g9011.t1")
"1506","PAR",2102188,2104902,2715,"+",2,c("g9014.t1", "g9015.t1")
"1507","PAR",2109033,2119837,10805,"-",3,c("g9017.t1", "g9018.t1", "g9019.t1")
"1508","PAR",2138239,2140566,2328,"+",2,c("g9025.t1", "g9026.t1")
"1509","PAR",2142748,2145963,3216,"+",2,c("g9027.t1", "g9028.t1")
"1510","PAR",2199025,2203272,4248,"+",2,c("g9037.t1", "g9038.t1")
"1511","PAR",2215517,2221349,5833,"+",3,c("g9042.t1", "g9043.t1", "g9044.t1")
"1512","PAR",2236132,2248766,12635,"+",2,c("g9049.t1", "g9050.t1")
"1513","PAR",2254010,2260471,6462,"+",2,c("g9052.t1", "g9053.t1")
"1514","PAR",2291801,2296504,4704,"+",3,c("g9064.t1", "g9065.t1", "g9066.t1")
"1515","PAR",2302312,2304834,2523,"+",2,c("g9069.t1", "g9070.t1")
"1516","PAR",2328706,2344141,15436,"-",3,c("g9078.t1", "g9079.t1", "g9080.t1")
"1517","PAR",2354810,2358930,4121,"+",3,c("g9081.t1", "g9082.t1", "g9083.t1")
"1518","PAR",2363319,2365464,2146,"+",2,c("g9085.t1", "g9086.t1")
"1519","PAR",2396600,2400287,3688,"+",2,c("g9096.t1", "g9097.t1")
"1520","PAR",2443016,2446389,3374,"-",3,c("g9104.t3", "g9104.t1", "g9104.t2")
"1521","PAR",2511330,2514645,3316,"-",2,c("g9128.t1", "g9129.t1")
"1522","PAR",2517758,2527450,9693,"-",6,c("g9131.t1", "g9132.t1", "g9133.t1", "g9134.t1", "g9135.t1", "g9136.t1")
"1523","PAR",2569115,2570817,1703,"-",2,c("g9147.t1", "g9148.t1")
"1524","PAR",2579990,2586573,6584,"-",2,c("g9152.t1", "g9153.t1")
"1525","PAR",2625216,2631511,6296,"+",3,c("g9166.t3", "g9166.t1", "g9166.t2")
"1526","PAR",2639359,2644676,5318,"-",2,c("g9171.t1", "g9172.t1")
"1527","PAR",2645927,2653168,7242,"-",3,c("g9173.t1", "g9174.t1", "g9175.t1")
"1528","PAR",2678310,2680838,2529,"-",2,c("g9182.t1", "g9183.t1")
"1529","PAR",2713999,2715506,1508,"-",2,c("g9196.t1", "g9197.t1")
"1530","PAR",2727081,2731282,4202,"-",2,c("g9199.t1", "g9200.t1")
"1531","PAR",2736060,2749027,12968,"-",3,c("g9203.t1", "g9203.t2", "g9203.t3")
"1532","PAR",2818877,2821726,2850,"+",2,c("g9224.t1", "g9225.t1")
"1533","PAR",2885510,2892152,6643,"+",4,c("g9248.t1", "g9249.t1", "g9250.t1", "g9251.t1")
"1534","PAR",2994601,2998011,3411,"-",2,c("g9275.t1", "g9275.t2")
"1535","PAR",3083010,3089563,6554,"+",2,c("g9296.t1", "g9297.t1")
"1536","PAR",3126648,3133734,7087,"+",2,c("g9303.t1", "g9304.t1")
"1537","PAR",3209502,3215405,5904,"+",3,c("g9319.t1", "g9320.t1", "g9321.t1")
"1538","PAR",3257733,3260378,2646,"+",2,c("g9336.t1", "g9337.t1")
"1539","PAR",3271440,3276129,4690,"+",2,c("g9340.t1", "g9341.t1")
"1540","PAR",3322953,3324869,1917,"-",2,c("g9358.t1", "g9359.t1")
"1541","PAR",3339324,3343374,4051,"-",2,c("g9365.t1", "g9366.t1")
"1542","PAR",3353883,3362588,8706,"-",4,c("g9370.t1", "g9371.t1", "g9371.t2", "g9372.t1")
"1543","PAR",3365788,3369839,4052,"+",2,c("g9374.t1", "g9375.t1")
"1544","PAR",3412074,3421504,9431,"-",4,c("g9383.t2", "g9383.t1", "g9384.t1", "g9385.t1")
"1545","PAR",3437957,3443319,5363,"-",3,c("g9391.t1", "g9392.t1", "g9393.t1")
"1546","PAR",3480952,3483566,2615,"+",2,c("g9406.t1", "g9407.t1")
"1547","PAR",3492109,3494520,2412,"+",3,c("g9411.t1", "g9412.t1", "g9413.t1")
"1548","PAR",3504130,3513689,9560,"+",2,c("g9418.t1", "g9419.t1")
"1549","PAR",3585070,3586418,1349,"+",3,c("g9443.t1", "g9444.t1", "g9444.t2")
"1550","PAR",3597813,3605270,7458,"-",4,c("g9451.t2", "g9451.t1", "g9452.t2", "g9452.t1")
"1551","PAR",3628598,3632486,3889,"-",3,c("g9460.t1", "g9461.t1", "g9462.t1")
"1552","PAR",3647610,3648606,997,"-",2,c("g9467.t1", "g9468.t1")
"1553","PAR",3684751,3693956,9206,"-",3,c("g9480.t1", "g9480.t2", "g9481.t1")
"1554","PAR",3766256,3772905,6650,"+",4,c("g9499.t1", "g9500.t1", "g9501.t1", "g9501.t2")
"1555","PAR",3795283,3800020,4738,"+",4,c("g9508.t1", "g9509.t1", "g9510.t1", "g9511.t1")
"1556","PAR",3816751,3818169,1419,"+",2,c("g9516.t1", "g9517.t1")
"1557","PAR",3819639,3821018,1380,"-",2,c("g9515.t2", "g9515.t3")
"1558","PAR",3855454,3857744,2291,"+",2,c("g9531.t1", "g9531.t2")
"1559","PAR",3895955,3901086,5132,"+",3,c("g9542.t1", "g9543.t1", "g9544.t1")
"1560","PAR",3948741,3951922,3182,"-",2,c("g9561.t1", "g9562.t1")
"1561","PAR",3956253,3959530,3278,"+",2,c("g9565.t1", "g9566.t1")
"1562","PAR",4046672,4048647,1976,"-",2,c("g9586.t1", "g9587.t1")
"1563","PAR",4060244,4064311,4068,"+",2,c("g9591.t1", "g9592.t1")
"1564","PAR",4069854,4077236,7383,"-",4,c("g9595.t1", "g9595.t2", "g9595.t3", "g9596.t1")
"1565","PAR",4127253,4130264,3012,"-",2,c("g9611.t1", "g9611.t2")
"1566","PAR",4145082,4148487,3406,"-",2,c("g9613.t1", "g9614.t1")
"1567","PAR",4176396,4184776,8381,"-",4,c("g9619.t1", "g9619.t2", "g9620.t1", "g9621.t1")
"1568","PAR",4211467,4217649,6183,"+",3,c("g9630.t1", "g9631.t1", "g9632.t1")
"1569","PAR",4261794,4269076,7283,"+",3,c("g9640.t1", "g9641.t1", "g9642.t1")
"1570","PAR",4320981,4322185,1205,"+",2,c("g9648.t1", "g9649.t1")
"1571","PAR",4329366,4336211,6846,"-",2,c("g9650.t1", "g9651.t1")
"1572","PAR",4338467,4341167,2701,"+",2,c("g9652.t1", "g9653.t1")
"1573","PAR",4362824,4367744,4921,"-",2,c("g9658.t1", "g9659.t1")
"1574","PAR",4378190,4385124,6935,"+",2,c("g9662.t1", "g9662.t2")
"1575","PAR",4389332,4392263,2932,"-",2,c("g9664.t1", "g9665.t1")
"1576","PAR",4493080,4500673,7594,"-",2,c("g9683.t1", "g9684.t1")
"1577","PAR",4508767,4512296,3530,"-",2,c("g9686.t1", "g9687.t1")
"1578","PAR",4567301,4569374,2074,"+",2,c("g9699.t1", "g9700.t1")
"1579","PAR",4678237,4684734,6498,"-",3,c("g9724.t1", "g9725.t1", "g9726.t1")
"1580","PAR",4687122,4691635,4514,"-",3,c("g9728.t1", "g9729.t1", "g9730.t1")
"1581","PAR",4718264,4722631,4368,"-",2,c("g9740.t1", "g9741.t1")
"1582","PAR",4724150,4731905,7756,"-",4,c("g9742.t1", "g9743.t1", "g9744.t1", "g9745.t1")
"1583","PAR",4732691,4736776,4086,"-",3,c("g9746.t1", "g9747.t1", "g9748.t1")
"1584","PAR",4740780,4743274,2495,"-",2,c("g9750.t2", "g9750.t1")
"1585","PAR",4744406,4746791,2386,"+",2,c("g9751.t1", "g9752.t1")
"1586","PAR",4761219,4765142,3924,"+",2,c("g9757.t1", "g9758.t1")
"1587","PAR",4779624,4782257,2634,"+",2,c("g9762.t1", "g9763.t1")
"1588","PAR",4797829,4808055,10227,"+",2,c("g9765.t1", "g9766.t1")
"1589","PAR",4823666,4825384,1719,"-",2,c("g9770.t2", "g9770.t1")
